2023-07-12 12:11:44,978 - Unexpected error occurred: scrape_hotel_names() missing 1 required positional argument: 'page'
2023-07-12 12:11:51,178 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018697CC1960>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c6af0c3e1578f82eb566555ae5186ee8
2023-07-12 12:11:55,281 - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018697CC1A80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c6af0c3e1578f82eb566555ae5186ee8
2023-07-12 12:11:59,389 - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018697CC1C90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c6af0c3e1578f82eb566555ae5186ee8
2023-07-12 12:13:03,623 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002EBAFF2BF40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/28003d1a45a6fa467df3fe2292c91975
2023-07-12 12:13:07,716 - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002EBAFF2BF70>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/28003d1a45a6fa467df3fe2292c91975
2023-07-12 12:13:11,804 - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002EBAFF2BCA0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/28003d1a45a6fa467df3fe2292c91975
2023-07-12 12:15:27,299 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000021A7D338970>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3a3401a47fdb9ffbddb8ce6285bfae15
2023-07-12 12:15:31,400 - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000021A7D3385E0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3a3401a47fdb9ffbddb8ce6285bfae15
2023-07-12 12:15:35,488 - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000021A7D338B20>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3a3401a47fdb9ffbddb8ce6285bfae15
2023-07-12 12:19:03,213 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)': /session/b2d37aa89eeba3fdc3afdabc50d2da44
2023-07-12 12:19:15,499 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000013FCDFCA470>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/b2d37aa89eeba3fdc3afdabc50d2da44
